"Country","2008-2009","%Share 2008-2009","2009-2010_x","%Share 2009-2010_x","Growth 2009-2010","2009-2010_y","%Share 2009-2010_y","2010-2011_x","%Share 2010-2011_x","Growth 2010-2011","2010-2011_y","%Share 2010-2011_y","2011-2012_x","%Share 2011-2012_x","Growth 2011-2012","2011-2012_y","%Share 2011-2012_y","2012-2013_x","%Share 2012-2013_x","Growth 2012-2013","2012-2013_y","%Share 2012-2013_y","2013-2014_x","%Share 2013-2014_x","Growth 2013-2014","2013-2014_y","%Share 2013-2014_y","2014-2015_x","%Share 2014-2015_x","Growth 2014-2015","2014-2015_y","%Share 2014-2015_y","2015-2016_x","%Share 2015-2016_x","Growth 2015-2016","2015-2016_y","%Share 2015-2016_y","2016-2017_x","%Share 2016-2017_x","Growth 2016-2017","2016-2017_y","%Share 2016-2017_y","2017-2018_x","%Share 2017-2018_x","Growth 2017-2018","2017-2018_y","%Share 2017-2018_y","2018-2019_x","%Share 2018-2019_x","Growth 2018-2019","2018-2019_y","%Share 2018-2019_y","2019-2020_x","%Share 2019-2020_x","Growth 2019-2020","2019-2020_y","%Share 2019-2020_y","2020-2021_x","%Share 2020-2021_x","Growth 2020-2021","2020-2021_y","%Share 2020-2021_y","2021-2022_x","%Share 2021-2022_x","Growth 2021-2022","2021-2022_y","%Share 2021-2022_y","2022-2023_x","%Share 2022-2023_x","Growth 2022-2023","2022-2023_y","%Share 2022-2023_y","2023-2024_x","%Share 2023-2024_x","Growth 2023-2024","2023-2024_y","%Share 2023-2024_y","2024-2025","%Share 2024-2025","Growth 2024-2025"
"Afghanistan","217.23154634262568","0.2169","262.5240886347391","0.2606","20.85","262.5240886347391","0.0003104598522754","228.8354062425542","0.0002012151536812","-0.0152878319854578","228.8354062425542","0.1689","289.3871932332618","0.1657","26.46","289.3871932332618","0.1657","306.06803669287586","0.1572","5.76","306.06803669287586","0.1572","342.96834643793187","0.1511","12.06","342.96834643793187","0.1511","307.5172623302359","0.1361","-10.34","307.5172623302359","0.1361","409.34395997140814","0.2002","33.11","409.34395997140814","0.2002","404.6718489397188","0.1837","-1.14","404.6718489397188","0.1837","545.257874672385","0.2339","34.74","545.257874672385","0.2339","594.7551584465094","0.2163","9.08","594.7551584465094","0.2163","844.0058255897069","0.3191","41.91","844.0058255897069","0.3191","727.4482010960211","0.2828","-13.81","727.4482010960211","0.0003369073147486","491.9039909459137","0.0001563021205623","-0.038574596710751","491.9039909459137","0.1312","416.3662258756255","0.0965","-15.36","416.3662258756255","0.0965","350.57330235882773","0.0813","-15.8","350.57330235882773","0.00009685489635453896","63.11485584941626","0.0001009054086252","-0.0976848625363109"
"Albania","6.659161305694544","0.0066","4.798117703121277","0.0048","-27.95","4.798117703121277","0.000005718370264474624","6.2276387896116265","0.000005480104836788182","0.0354936533588828","6.2276387896116265","0.0046","7.227805575411009","0.0041","16.06","7.227805575411009","0.0041","11.33682392184894","0.0058","56.85","11.33682392184894","0.0058","13.643126042411248","0.006","20.34","13.643126042411248","0.006","14.134143435787468","0.0063","3.6","14.134143435787468","0.0063","18.77688825351441","0.0092","32.85","18.77688825351441","0.0092","21.101334286395044","0.0096","12.38","21.101334286395044","0.0096","22.51589230402669","0.0097","6.7","22.51589230402669","0.0097","30.786168691922803","0.0112","36.73","30.786168691922803","0.0112","37.294388849177984","0.0141","21.14","37.294388849177984","0.0141","41.24312604241125","0.016","10.59","41.24312604241125","0.000019061234214915416","48.892399332856805","0.000015487252799618776","0.0220952864989466","48.892399332856805","0.013","336.06316416487965","0.0779","587.35","336.06316416487965","0.0779","1138.4016559447225","0.264","238.75","1138.4016559447225","0.0003145103645461","12.690910173933762","0.00002025256135334763","-0.1178046214583709"
"Algeria","356.96482010960216","0.3564","326.0789015963784","0.3237","-8.65","326.0789015963784","0.0003856325947105","423.858708601382","0.0003727662616154","0.0357237886614062","423.858708601382","0.3129","475.6134858232071","0.2723","12.21","475.6134858232071","0.2723","707.0164522277818","0.3631","48.65","707.0164522277818","0.3631","768.4225756492733","0.3386","8.69","768.4225756492733","0.3386","773.6232308791995","0.3424","0.68","773.6232308791995","0.3424","611.7338575172743","0.2992","-20.93","611.7338575172743","0.2992","672.3181319990468","0.3051","9.9","672.3181319990468","0.3051","632.2283178460805","0.2712","-5.96","632.2283178460805","0.2712","783.3319275673099","0.2849","23.9","783.3319275673099","0.2849","514.2805813676435","0.1945","-34.35","514.2805813676435","0.1945","523.957219442459","0.2037","1.88","523.957219442459","0.0002426733380986","624.0177746009055","0.0001982368358351","0.0227508755340171","624.0177746009055","0.1664","587.8919585418156","0.1363","-5.79","587.8919585418156","0.1363","836.952978317846","0.1941","42.37","836.952978317846","0.0002312365975696","142.82339766499882","0.0002282582797236","-0.0988030903100827"
"Ameri Samoa","0.0694067190850607","0.0001","0.048189182749583","0","-30.58","0.048189182749583","0.0","0.1107100309745056","0.00000011913271384322137","0.1545632836215638","0.1107100309745056","0.0001","1.1615916130569457","0.0007","949.23","1.1615916130569457","0.0007","0.2367286156778651","0.0001","-79.62","0.2367286156778651","0.0001","0.0370741005480104","0","-84.34","0.0370741005480104","0","0.1399094591374791","0.0001","277.41","0.1399094591374791","0.0001","0.1196092446985942","0.0001","-14.51","0.1196092446985942","0.0001","0.0615201334286395","0","-48.57","0.0615201334286395","0","0.2379318560876817","0.0001","286.78","0.2379318560876817","0.0001","0.0215391946628544","0","-90.95","0.0215391946628544","0","0.108065284727186","0","401.84","0.108065284727186","0","0.5161782225399095","0.0002","377.63","0.5161782225399095","0.0000002382654276864427","0.6886704789135097","0.0000002382654276864427","0.0398108051083826","0.6886704789135097","0.0002","0.0269716464141053","0","-96.08","0.0269716464141053","0","4.098463187991423","0.001","15097.33","4.098463187991423","0.0000011913271384322135","0.9699904693828926","0.0000015487252799618773","-0.0909373655579835"
"Andorra","0.4912675720752918","0.0005","0.1149511555873242","0.0001","-76.6","0.1149511555873242","0.00000011913271384322137","0.1433762211103169","0.00000011913271384322137","0.0294590792030185","0.1433762211103169","0.0001","0.1494877293304741","0.0001","4.26","0.1494877293304741","0.0001","0.0697045508696688","0","-53.37","0.0697045508696688","0","0.088241601143674","0","26.6","0.088241601143674","0","0.1861210388372647","0.0001","110.92","0.1861210388372647","0.0001","0.091386704789135","0","-50.9","0.091386704789135","0","0.1158327376697641","0.0001","26.75","0.1158327376697641","0.0001","3.664927329044556","0.0016","3064.1","3.664927329044556","0.0016","0.27618537050274","0.0001","-92.46","0.27618537050274","0.0001","0.065868477483917","0","-76.15","0.065868477483917","0","0.0180605194186323","0","-72.57","0.0180605194186323","0.0","0.0438408386943054","0.0","0.1700548764886088","0.0438408386943054","0","0.2158565642125327","0.0001","392.33","0.2158565642125327","0.0001","0.3124731951393853","0.0001","44.76","0.3124731951393853","0.00000011913271384322137","0.0","0.0","-0.1191327138432213"
"Angola","202.9803192756731","0.2027","358.08128425065524","0.3555","76.41","358.08128425065524","0.0004235167977126","364.6068620443174","0.0003207052656659","0.0021710427943222","364.6068620443174","0.2692","262.72520848224923","0.1504","-27.94","262.72520848224923","0.1504","316.8481891827496","0.1627","20.6","316.8481891827496","0.1627","389.1018942101501","0.1714","22.8","389.1018942101501","0.1714","402.3895639742673","0.1781","3.41","402.3895639742673","0.1781","173.26714319752205","0.0847","-56.94","173.26714319752205","0.0847","123.56588039075532","0.0561","-28.68","123.56588039075532","0.0561","180.31988324994043","0.0774","45.93","180.31988324994043","0.0774","235.1839170836312","0.0855","30.43","235.1839170836312","0.0855","240.55458660948295","0.091","2.28","240.55458660948295","0.091","228.8818441744103","0.089","-4.85","228.8818441744103","0.0001060281153204","402.42754348344056","0.0001278294019537","0.0903303195982198","402.42754348344056","0.1073","594.6741362878246","0.1378","47.77","594.6741362878246","0.1378","688.9492137240886","0.1598","15.85","688.9492137240886","0.0001903740767214","74.79841553490589","0.0001196092446985","-0.1061986135404159"
"Anguilla","0.0465094114843936","0","0.0276387896116273","0","-40.56","0.0276387896116273","0.0","0.091827495830355","0.00000011913271384322137","0.2766754578393434","0.091827495830355","0.0001","0.0648081963307124","0","-29.42","0.0648081963307124","0","0.0938408386943054","0","44.79","0.0938408386943054","0","0.0170836311651179","0","-81.79","0.0170836311651179","0","0.0362878246366452","0","112.36","0.0362878246366452","0","0.0123778889683106","0","-65.88","0.0123778889683106","0","0.033690731474863","0","172.11","0.033690731474863","0","0.3860852990231117","0.0002","1045.83","0.3860852990231117","0.0002","0.1350726709554443","0","-65.01","0.1350726709554443","0","0.0377412437455325","0","-72.06","0.0377412437455325","0","0.0446866809625923","0","18.41","0.0446866809625923","0.0","0.0807481534429354","0.0","0.096138289736985","0.0807481534429354","0","0.0404574696211579","0","-49.9","0.0404574696211579","0","0.2617941386704789","0.0001","547.09","0.2617941386704789","0.00000011913271384322137","0.0220514653323802","0.0","-0.1090979173324681"
"Antartica","0.0","0","0.0566714319752204","0.0001","0","0.0566714319752204","0.00000011913271384322137","0.0917202763878961","0.00000011913271384322137","0.073678462082564","0.0917202763878961","0.0001","0.0367762687634024","0","-59.91","0.0367762687634024","0","0.1102930664760543","0.0001","199.96","0.1102930664760543","0.0001","0.0439242315939957","0","-60.17","0.0439242315939957","0","0.0026923993328568","0","-93.88","0.0026923993328568","0","0.0010960209673576","0","-59.4","0.0010960209673576","0","0.0","0","0","0.0","0","0.0770192994996426","0","0","0.0770192994996426","0","0.0027877055039313","0","-96.38","0.0027877055039313","0","0.0179771265189421","0","544.55","0.0179771265189421","0","0.9159637836549918","0.0004","4995.49","0.9159637836549918","0.0000004765308553728854","0.0667262330235882","0.0","-0.1104541204681481","0.0667262330235882","0","0.0999046938289254","0","49.73","0.0999046938289254","0","0.2566595187038361","0.0001","156.92","0.2566595187038361","0.00000011913271384322137","0.0037765070288301","0.0","-0.1173797863326244"
"Antigua","1.5663807481534429","0.0016","0.8250893495353825","0.0008","-47.33","0.8250893495353825","0.0000009530617107457708","0.5113890874434119","0.0000004765308553728854","-0.0452944442652069","0.5113890874434119","0.0004","0.4978436978794377","0.0003","-2.65","0.4978436978794377","0.0003","0.8792709077912795","0.0005","76.62","0.8792709077912795","0.0005","1.5957946152013345","0.0007","81.49","1.5957946152013345","0.0007","1.523671670240648","0.0007","-4.52","1.523671670240648","0.0007","2.001441505837503","0.001","31.36","2.001441505837503","0.001","1.5815463426256848","0.0007","-20.98","1.5815463426256848","0.0007","1.6615082201572553","0.0007","5.06","1.6615082201572553","0.0007","2.2478079580652848","0.0008","35.29","2.2478079580652848","0.0008","1.8461877531570168","0.0007","-17.87","1.8461877531570168","0.0007","1.419287586371217","0.0006","-23.12","1.419287586371217","0.000000714796283059328","2.199440076244937","0.000000714796283059328","0.0654847433477751","2.199440076244937","0.0006","2.787502978317846","0.0006","26.74","2.787502978317846","0.0006","14.703121277102692","0.0034","427.46","14.703121277102692","0.000004050512270669526","0.9599952346914464","0.0000015487252799618773","-0.1113543084672515"
"Argentina","191.764010007148","0.1915","152.0692994996426","0.151","-20.7","152.0692994996426","0.0001798903979032","219.52635215630207","0.0001931141291398","0.0528465757210371","219.52635215630207","0.1621","271.1989635453896","0.1553","23.54","271.1989635453896","0.1553","350.3622587562545","0.1799","29.19","350.3622587562545","0.1799","441.7835954253038","0.1947","26.09","441.7835954253038","0.1947","334.8634739099357","0.1482","-24.2","334.8634739099357","0.1482","418.134965451513","0.2045","24.87","418.134965451513","0.2045","407.8889802239695","0.1851","-2.45","407.8889802239695","0.1851","544.0821539194662","0.2334","33.39","544.0821539194662","0.2334","465.8480462234929","0.1694","-14.38","465.8480462234929","0.1694","646.725637360019","0.2445","38.83","646.725637360019","0.2445","606.1018942101501","0.2356","-6.28","606.1018942101501","0.0002806766738146","1270.1120443173695","0.0004036216345008","0.1305149050966174","1270.1120443173695","0.3388","913.4036692875864","0.2117","-28.08","913.4036692875864","0.2117","1071.0647724565167","0.2484","17.26","1071.0647724565167","0.0002959256611865","173.31122230164402","0.0002769835596854","-0.0998556012135844"
