"Country","2008-2009","%Share 2008-2009","2009-2010_x","%Share 2009-2010_x","Growth 2009-2010","2009-2010_y","%Share 2009-2010_y","2010-2011_x","%Share 2010-2011_x","Growth 2010-2011","2010-2011_y","%Share 2010-2011_y","2011-2012_x","%Share 2011-2012_x","Growth 2011-2012","2011-2012_y","%Share 2011-2012_y","2012-2013_x","%Share 2012-2013_x","Growth 2012-2013","2012-2013_y","%Share 2012-2013_y","2013-2014_x","%Share 2013-2014_x","Growth 2013-2014","2013-2014_y","%Share 2013-2014_y","2014-2015_x","%Share 2014-2015_x","Growth 2014-2015","2014-2015_y","%Share 2014-2015_y","2015-2016_x","%Share 2015-2016_x","Growth 2015-2016","2015-2016_y","%Share 2015-2016_y","2016-2017_x","%Share 2016-2017_x","Growth 2016-2017","2016-2017_y","%Share 2016-2017_y","2017-2018_x","%Share 2017-2018_x","Growth 2017-2018","2017-2018_y","%Share 2017-2018_y","2018-2019_x","%Share 2018-2019_x","Growth 2018-2019","2018-2019_y","%Share 2018-2019_y","2019-2020_x","%Share 2019-2020_x","Growth 2019-2020","2019-2020_y","%Share 2019-2020_y","2020-2021_x","%Share 2020-2021_x","Growth 2020-2021","2020-2021_y","%Share 2020-2021_y","2021-2022_x","%Share 2021-2022_x","Growth 2021-2022","2021-2022_y","%Share 2021-2022_y","2022-2023_x","%Share 2022-2023_x","Growth 2022-2023","2022-2023_y","%Share 2022-2023_y","2023-2024_x","%Share 2023-2024_x","Growth 2023-2024","2023-2024_y","%Share 2023-2024_y","2024-2025","%Share 2024-2025","Growth 2024-2025"
"Afghanistan","70.58118894448415","0.0431","70.33639504407911","0.0433","-0.35","70.33639504407911","0.00005158446509411484","78.86871574934476","0.000046819156540386","0.0144516721444422","78.86871574934476","0.0393","76.58508458422682","0.0274","-2.9","76.58508458422682","0.000032642363593042654","102.56994281629736","0.000038479866571360495","0.0404210127445038","102.56994281629736","0.0323","153.39443650226352","0.0474","49.55","153.39443650226352","0.0474","192.1515844650941","0.0589","25.27","192.1515844650941","0.0589","241.77731713128424","0.0815","25.83","241.77731713128424","0.0815","234.3901477245652","0.0763","-3.06","234.3901477245652","0.0763","333.16927567309983","0.0932","42.14","333.16927567309983","0.0932","366.7422682868717","0.0856","10.08","366.7422682868717","0.0856","448.607159876102","0.112","22.32","448.607159876102","0.112","447.16185370502734","0.1287","-0.32","447.16185370502734","0.1287","453.42111031689296","0.0832","1.4","453.42111031689296","0.0832","435.1481653562068","0.0635","-4.03","435.1481653562068","0.0635","634.6229092208721","0.0952","45.84","634.6229092208721","0.0952","57.73155825589707","0.0501","-0.1082952273461347"
"Albania","0.0970455086966881","0.0001","0.1550869668811055","0.0001","59.82","0.1550869668811055","0.00000011913271384322137","0.0621753633547772","0.0","-0.0713716419775144","0.0621753633547772","0","75.65536097212295","0.0271","121587.83","75.65536097212295","0.000032284965451512984","19.844055277579223","0.000007386228258279724","-0.0878847476912389","19.844055277579223","0.0062","148.15172742435072","0.0458","646.58","148.15172742435072","0.0458","35.89868954014773","0.011","-75.77","35.89868954014773","0.011","13.571920419347151","0.0046","-62.19","13.571920419347151","0.0046","5.212556588039075","0.0017","-61.59","5.212556588039075","0.0017","29.87343340481296","0.0084","473.11","29.87343340481296","0.0084","19.018263045032164","0.0044","-36.34","19.018263045032164","0.0044","39.95531331903741","0.01","110.09","39.95531331903741","0.01","7.259006433166547","0.0021","-81.83","7.259006433166547","0.0021","27.260912556588043","0.005","275.55","27.260912556588043","0.005","10.087705503931382","0.0015","-63","10.087705503931382","0.0015","7.504241124612819","0.0011","-25.61","7.504241124612819","0.0011","2.136573743149869","0.0019","-0.0852137839846413"
"Algeria","538.1867405289493","0.3287","553.445163211818","0.3407","2.84","553.445163211818","0.0004058851560638","985.5683106981178","0.0005854181558255","0.0930173514856696","985.5683106981178","0.4914","1213.6274243507266","0.4343","23.14","1213.6274243507266","0.0005173933762211","442.6254705742197","0.0001658327376697","-0.0756834867842249","442.6254705742197","0.1392","623.2621634500834","0.1927","40.81","623.2621634500834","0.1927","402.61198475101264","0.1235","-35.4","402.61198475101264","0.1235","234.94411484393615","0.0792","-41.65","234.94411484393615","0.0792","483.1332975935192","0.1573","105.64","483.1332975935192","0.1573","968.8098880152488","0.271","100.53","968.8098880152488","0.271","1417.624577078866","0.331","46.33","1417.624577078866","0.331","1682.4152609006433","0.4202","18.68","1682.4152609006433","0.4202","360.3857755539672","0.1037","-78.58","360.3857755539672","0.1037","892.8078151060281","0.1639","147.74","892.8078151060281","0.1639","1445.126256850131","0.211","61.86","1445.126256850131","0.211","875.6230640934001","0.1314","-39.41","875.6230640934001","0.1314","316.6225160829164","0.2746","-0.0760547032795305"
"Ameri Samoa","0.135835120324041","0.0001","0.1918989754586609","0.0001","41.28","0.1918989754586609","0.00000011913271384322137","0.0834762925899452","0.0","-0.0673098354039705","0.0834762925899452","0","0.7827972361210389","0.0003","837.71","0.7827972361210389","0.000000357398141529664","0.5023826542768645","0.0000002382654276864427","-0.0426758662330575","0.5023826542768645","0.0002","0.0964974982130092","0","-80.79","0.0964974982130092","0","0.4814391231832262","0.0001","398.91","0.4814391231832262","0.0001","0.880736240171551","0.0003","82.94","0.880736240171551","0.0003","0.1103883726471289","0","-87.47","0.1103883726471289","0","0.2328091493924231","0.0001","110.92","0.2328091493924231","0.0001","0.0004169644984512","0","-99.82","0.0004169644984512","0","2.6159876101977604","0.0007","635274.71","2.6159876101977604","0.0007","0.864569930903026","0.0002","-66.95","0.864569930903026","0.0002","0.0022396950202525","0","-99.74","0.0022396950202525","0","0.0165951870383607","0","642","0.0165951870383607","0","0.0471765546819156","0","184.32","0.0471765546819156","0","0.0","0","-0.1191327138432213"
"Andorra","0.0486061472480343","0","0.0023230879199428","0","-95.22","0.0023230879199428","0.0","0.0038718131999046","0.0","0.0794218092288142","0.0038718131999046","0","0.0189540147724565","0","389.18","0.0189540147724565","0.0","0.0061710745770788","0.0","-0.0803453186384516","0.0061710745770788","0","0.0001906123421491","0","-96.83","0.0001906123421491","0","3.914248272575649","0.0012","2004547.59","3.914248272575649","0.0012","0.0001548725279961","0","-100","0.0001548725279961","0","0.0713366690493209","0","47269.54","0.0713366690493209","0","0.0","0","0","0.0","0","0.0324279247081248","0","0","0.0324279247081248","0","0.0286514176792947","0","-11.66","0.0286514176792947","0","0.0056945437217059","0","-80.13","0.0056945437217059","0","0.0","0","0","0.0","0","0.0001906123421491","0","0","0.0001906123421491","0","0.0465451512985465","0","25076.55","0.0465451512985465","0","0.0001191327138432","0","-0.1188277926406536"
"Angola","779.0088753871813","0.4758","2384.7625446747675","1.4679","206.13","2384.7625446747675","0.0017487491065046","2772.5801644031453","0.0016468906361686","0.0193737383277969","2772.5801644031453","1.3824","3796.578722897308","1.3587","36.93","3796.578722897308","0.0016186561829878","4639.79311412914","0.0017382654276864","0.0264591955312986","4639.79311412914","1.4591","4366.375768406004","1.3497","-5.89","4366.375768406004","1.3497","3349.811925184656","1.0273","-23.28","3349.811925184656","1.0273","2142.503800333572","0.7222","-36.04","2142.503800333572","0.7222","2073.6445318084347","0.6753","-3.21","2073.6445318084347","0.6753","3319.427853228497","0.9285","60.08","3319.427853228497","0.9285","3353.172277817489","0.783","1.02","3353.172277817489","0.783","3077.447367167024","0.7686","-8.22","3077.447367167024","0.7686","1656.9998093876577","0.477","-46.16","1656.9998093876577","0.477","2425.8186561829875","0.4453","46.4","2425.8186561829875","0.4453","3449.0496783416725","0.5035","42.18","3449.0496783416725","0.5035","3449.986776268764","0.5178","0.03","3449.986776268764","0.5178","1053.70696926376","0.9139","-0.0827467857268034"
"Antartica","0.020860138193948","0","0.0402787705503931","0","93.1","0.0402787705503931","0.0","0.0418155825589706","0.0","0.0045454362868309","0.0418155825589706","0","0.2389206576125804","0.0001","471.33","0.2389206576125804","0.00000011913271384322137","0.0","0.0","-0.1191327138432213","0.0","0","0.2655825589706934","0.0001","0","0.2655825589706934","0.0001","3.586287824636645","0.0011","1250.38","3.586287824636645","0.0011","0.8389444841553491","0.0003","-76.61","0.8389444841553491","0.0003","0.3977722182511318","0.0001","-52.59","0.3977722182511318","0.0001","0.0380629020729092","0","-90.43","0.0380629020729092","0","0.0273766976411722","0","-28.07","0.0273766976411722","0","0.0634977364784369","0","131.93","0.0634977364784369","0","0.585763640695735","0.0002","822.42","0.585763640695735","0.0002","1.0852871098403625","0.0002","85.28","1.0852871098403625","0.0002","0.8423040266857279","0.0001","-22.39","0.8423040266857279","0.0001","0.4995353824160115","0.0001","-40.69","0.4995353824160115","0.0001","0.0","0","-0.1191327138432213"
"Antigua","0.0421491541577317","0","0.0076721467715034","0","-81.81","0.0076721467715034","0.0","8.668811055515846","0.000005122706695258518","134.48973460783142","8.668811055515846","0.0043","0.0339051703597807","0","-99.61","0.0339051703597807","0.0","0.1413271384322134","0.0","0.377448939116067","0.1413271384322134","0","0.0313795568263045","0","-77.8","0.0313795568263045","0","0.3591970455086967","0.0001","1044.82","0.3591970455086967","0.0001","0.00702883011675","0","-98.04","0.00702883011675","0","0.0011198475101262","0","-84","0.0011198475101262","0","0.0182392184893971","0","1520.43","0.0182392184893971","0","0.1270312127710269","0","596.71","0.1270312127710269","0","0.166678579938051","0","31.21","0.166678579938051","0","0.1250178699070764","0","-25","0.1250178699070764","0","0.1184774839170836","0","-5.23","0.1184774839170836","0","0.4999761734572314","0.0001","322.02","0.4999761734572314","0.0001","0.8307124136287825","0.0001","66.15","0.8307124136287825","0.0001","0.1056230640934","0.0001","-0.1039852788663964"
"Argentina","279.4785084584227","0.1707","376.6205384798666","0.2318","34.76","376.6205384798666","0.0002761496306885","558.7383369073148","0.0003319037407672","0.0576075528259446","558.7383369073148","0.2786","621.2546342625685","0.2223","11.19","621.2546342625685","0.0002648320228734","774.8813199904694","0.0002903264236359","0.0294596820371875","774.8813199904694","0.2437","971.5658327376698","0.3003","25.38","971.5658327376698","0.3003","1449.4784012389805","0.4445","49.19","1449.4784012389805","0.4445","1936.067488682392","0.6526","33.57","1936.067488682392","0.6526","1997.0211222301643","0.6503","3.15","1997.0211222301643","0.6503","1711.350285918513","0.4787","-14.3","1711.350285918513","0.4787","1621.9879199428162","0.3788","-5.22","1621.9879199428162","0.3788","1966.837622111032","0.4912","21.26","1966.837622111032","0.4912","2318.7253752680485","0.6675","17.89","2318.7253752680485","0.6675","3732.315856564213","0.6851","60.96","3732.315856564213","0.6851","3744.6656063855135","0.5467","0.33","3744.6656063855135","0.5467","2458.999749821301","0.3691","-34.33","2458.999749821301","0.3691","529.3019656897784","0.4591","-0.0934892872345942"
"Armenia","1.5206099594948774","0.0009","1.6717417202763878","0.001","9.94","1.6717417202763878","0.0000011913271384322135","3.841815582558971","0.000002263521563021206","0.1546451735446448","3.841815582558971","0.0019","3.4443888491779844","0.0012","-10.34","3.4443888491779844","0.000001429592566118656","0.9656897784131524","0.000000357398141529664","-0.0857319425974098","0.9656897784131524","0.0003","1.242744817726948","0.0004","28.69","1.242744817726948","0.0004","0.5962234929711699","0.0002","-52.02","0.5962234929711699","0.0002","11.063545389563972","0.0037","1755.62","11.063545389563972","0.0037","0.8392661424827258","0.0003","-92.41","0.8392661424827258","0.0003","0.498558494162497","0.0001","-40.6","0.498558494162497","0.0001","0.7497259947581607","0.0002","50.38","0.7497259947581607","0.0002","1.313509649749821","0.0003","75.2","1.313509649749821","0.0003","84.3631403383369","0.0243","6322.71","84.3631403383369","0.0243","119.8700500357398","0.022","42.09","119.8700500357398","0.022","68.97748391708363","0.0101","-42.46","68.97748391708363","0.0101","35.5364784369788","0.0053","-48.48","35.5364784369788","0.0053","1.0053609721229448","0.0009","-0.1157623353963678"
